Id,Label,x,y
0,new,-48.22,143.17
1,will,-46.98,192.63
2,home,-57.67,169.03
3,can,-53.12,198.83
4,us,-52.5,158.91
5,page,29.02,143.21
6,search,-99.11,128.81
7,free,-40.4,154.52
8,one,-43.92,179.71
9,information,-27.83,171.43
10,time,-44.3,160.9
11,site,-41.09,167.23
12,may,-52.98,194.43
13,news,-17.57,159.82
14,use,-45.86,162.59
15,see,-35.85,133.81
16,contact,2.76,142.56
17,business,-59.94,157.73
18,web,-137.62,85.29
19,also,-48.83,189.85
20,now,-37.41,174.82
21,help,-32.98,166.8
22,get,-58.06,156.43
23,pm,-62.63,19.74
24,view,-31.77,144.02
25,online,-98.13,113.79
26,first,-47.57,150.84
27,services,-32.07,157.88
28,click,-33.37,-141.44
29,like,-37.16,137.61
30,service,-45.5,156.19
31,find,-34.7,147.24
32,price,7.14,149.62
33,date,-49.66,136.89
34,back,-47.49,172.56
35,top,-67.79,162.22
36,people,-44.56,173.11
37,list,-53.05,160.46
38,name,-42.99,165.79
39,just,-52.96,165.96
40,state,-49.91,162.68
41,year,-46.07,166.48
42,day,-43.7,152.85
43,email,143.33,4.63
44,two,-53.68,155.77
45,health,-22.31,157.15
46,world,-52.49,172.79
47,re,22.19,-75.58
48,next,-58.54,173.39
49,used,-49.21,177.35
50,go,-66.6,171.99
51,work,-49.02,172.65
52,last,-64.48,156.12
53,products,1.03,168.17
54,music,-62.26,154.24
55,buy,-126.58,61.56
56,data,-72.0,146.75
57,make,-45.96,159.46
58,product,12.48,167.08
59,system,-39.52,161.19
60,post,-63.46,136.06
61,city,-48.06,158.64
62,add,-123.1,70.77
63,policy,-4.42,135.79
64,number,-53.57,172.93
65,please,-99.62,-103.81
66,available,-36.57,171.28
67,copyright,138.28,26.25
68,support,-45.39,160.56
69,message,-103.74,85.86
70,best,-54.72,152.64
71,software,52.1,152.16
72,jan,-148.32,-0.75
73,good,-54.16,151.94
74,video,-90.82,152.44
75,well,-52.89,184.34
76,info,1.02,-143.57
77,rights,-24.8,154.58
78,public,-64.55,168.52
79,books,-62.51,141.13
80,high,-59.31,169.81
81,school,-48.81,155.64
82,links,-75.88,82.37
83,review,-87.6,130.56
84,years,-48.56,171.86
85,order,-44.54,188.11
86,privacy,100.63,-2.15
87,book,-52.48,156.06
88,items,-105.63,115.0
89,company,-42.1,164.61
90,read,15.58,146.41
91,group,-44.14,158.28
92,need,-7.82,176.37
93,many,-52.81,161.25
94,user,-147.18,60.95
95,said,-40.34,168.43
96,de,-65.79,174.7
97,set,-54.01,177.54
98,general,-45.47,151.62
99,research,-27.68,170.09
